tweet_id,text,retweets,urls,mentions,hashtags,emoji,emoji_text,cleaned_text
1263259992695672832,"Me, choking my parallel universe doppelganger who has a better life than me so I can take his place. https://t.co/sPyGZY10uV",18393,['https://t.co/sPyGZY10uV'],[],[],[],[],"Me, choking my parallel universe doppelganger who has a better life than me so I can take his place. "
1262010206852186112,Very American to decide we are bored with COVID and therefore it is over,18381,[],[],[],[],[],Very American to decide we are bored with COVID and therefore it is over
1264240020128509954,"This is serious. Happened today in Manhattan. As a public defender for over a decade, I have tried cases where the Manhattan DA uses a ""hysterical 911 call"" as categorical evidence of guilt. Usually there's no video like this to refute it. (1/4) https://t.co/rvRE8QFT5N",18355,['https://t.co/rvRE8QFT5N'],[],[],[],[],"This is serious. Happened today in Manhattan. As a public defender for over a decade, I have tried cases where the Manhattan DA uses a ""hysterical 911 call"" as categorical evidence of guilt. Usually there's no video like this to refute it. (1/4) "
1267200777375715329,10 years ago today this happened https://t.co/zckEHs7Da5,18354,['https://t.co/zckEHs7Da5'],[],[],[],[],10 years ago today this happened 
1256645650357207040,"Mark Zuckerberg created a website to rank his female classmates by their appearance and it ended up destroying democracy, in case you're wondering about the consequences of toxic masculinity",18301,[],[],[],[],[],"Mark Zuckerberg created a website to rank his female classmates by their appearance and it ended up destroying democracy, in case you're wondering about the consequences of toxic masculinity"
1265601615261827072,"celebrities when ppl are looting 
vs when police brutality happens https://t.co/hJqsVPiivN",18193,['https://t.co/hJqsVPiivN'],[],[],[],[],"celebrities when ppl are looting 
vs when police brutality happens "
1266849559575175170,This would have never made it to twitter if I happened to me 🌚 https://t.co/0Kzu3st9TE,18014,['https://t.co/0Kzu3st9TE'],[],[],['🌚 https:'],[':new_moon_face: https:'],This would have never made it to twitter if I happened to me  
1264300814883004416,MSDNC and FAKE NEWS CNN are going wild trying to protect China!,17969,[],[],[],[],[],MSDNC and FAKE NEWS CNN are going wild trying to protect China!
1259635624786739202,I HOPE SOMETHING UNEXPECTEDLY GOOD HAPPENS TO YOU THIS WEEK.,17968,[],[],[],[],[],I HOPE SOMETHING UNEXPECTEDLY GOOD HAPPENS TO YOU THIS WEEK.
1263282490099326978,"DO NOT TRY THIS AT HOME. Practice social distancing. Watermelon Sugar Video Out Now.

https://t.co/CFnaJ3JpFb https://t.co/jUjdOxFN1i",17945,"['https://t.co/CFnaJ3JpFb', 'https://t.co/jUjdOxFN1i']",[],[],['://t.co/CFnaJ3JpFb https:'],['://t.co/CFnaJ3JpFb https:'],"DO NOT TRY THIS AT HOME. Practice social distancing. Watermelon Sugar Video Out Now.

 "
1265821476390871040,"China is on a massive disinformation campaign because they are desperate to have Sleepy Joe Biden win the presidential race so they can continue to rip-off the United States, as they have done for decades, until I came along!",17788,[],[],[],[],[],"China is on a massive disinformation campaign because they are desperate to have Sleepy Joe Biden win the presidential race so they can continue to rip-off the United States, as they have done for decades, until I came along!"
1258543571101036544,"Candace Owens just had her posting privileges suspended after telling Michigan residents that they should go back to work.

This is what happens when Twitter doesn’t agree with you.

They should unsuspend her immediately.

RT so they can’t ignore!

#FreeCandace",17781,[],[],['#FreeCandace'],[],[],"Candace Owens just had her posting privileges suspended after telling Michigan residents that they should go back to work.

This is what happens when Twitter doesn’t agree with you.

They should unsuspend her immediately.

RT so they can’t ignore!

"
1258065401315037184,Okay so this happened today... all because i asked a HAIR stylist a question about HAIR https://t.co/qMj2XcZoEK,17775,['https://t.co/qMj2XcZoEK'],[],[],[],[],Okay so this happened today... all because i asked a HAIR stylist a question about HAIR 
1258797162684653568,Imagine not prioritizing the pandemic in the middle of a pandemic.,17607,[],[],[],[],[],Imagine not prioritizing the pandemic in the middle of a pandemic.
1266754810293792768,"....Twitter is completely stifling FREE SPEECH, and I, as President, will not allow it to happen!",17557,[],[],[],[],[],"....Twitter is completely stifling FREE SPEECH, and I, as President, will not allow it to happen!"
1260787930659876864,I DIDN’T THINK THEY’D THROW IT BUT THEY DID https://t.co/WTEk2T2n95,17556,['https://t.co/WTEk2T2n95'],[],[],[],[],I DIDN’T THINK THEY’D THROW IT BUT THEY DID 
1262589109517733888,"demanding the state be reopened amidst a pandemic 
vs 
demanding justice for #GeorgeFloyd https://t.co/jZKLjUUsbc",17406,['https://t.co/jZKLjUUsbc'],[],['#GeorgeFloyd'],[],[],"demanding the state be reopened amidst a pandemic 
vs 
demanding justice for  "
1264509979035344897,I dont think the 13 year olds on this app realize that no matter how mature you are or think you are. you're not emotionally mature for the for the shit that happens on social media. it's not fun growing up on the internet.,17326,[],[],[],[],[],I dont think the 13 year olds on this app realize that no matter how mature you are or think you are. you're not emotionally mature for the for the shit that happens on social media. it's not fun growing up on the internet.
